contig_id	length	score	pvalue
k141_100023_length_4149_cov_104.7343	4149	0.845321834	0.021904978
k141_100059_length_1850_cov_13.6805	1850	0.897681832	0.017845003
k141_10011_length_5825_cov_35.7685	5825	0.994004369	0.006439308
k141_100111_length_1126_cov_7.0000	1126	0.714523792	0.031875519
k141_100126_length_2146_cov_18.0000	2146	0.61420399	0.04063751
k141_100134_length_1302_cov_7.0000	1302	0.999167562	0.003323514
k141_100159_length_1100_cov_8.0000	1100	0.990068078	0.007383488
k141_100222_length_2154_cov_29.3274	2154	0.973657846	0.010140494
k141_100242_length_1361_cov_11.0000	1361	0.982635915	0.008950827
k141_100315_length_3847_cov_108.8073	3847	0.976157784	0.009762822
k141_100348_length_1030_cov_11.0000	1030	0.768406987	0.027928847
k141_10041_length_7664_cov_17.0000	7664	0.611146331	0.041015182
k141_100419_length_3646_cov_118.5327	3646	0.909194827	0.017070776
k141_100435_length_23148_cov_72.1303	23148	0.604778588	0.041713876
k141_100475_length_3070_cov_29.7484	3070	0.980391145	0.009252965
k141_100490_length_4770_cov_101.7282	4770	0.576192021	0.044867437
k141_100527_length_84101_cov_267.5616	84101	0.662953973	0.03612433
k141_100528_length_1212_cov_22.0000	1212	0.579798639	0.044508649
k141_100529_length_1007_cov_74.1905	1007	0.997333527	0.005060805
k141_100544_length_2826_cov_7.0000	2826	0.935649812	0.015106881
k141_100581_length_1278_cov_14.6781	1278	0.534475923	0.051495581
k141_100608_length_3384_cov_75.0025	3384	0.995599747	0.0058728
k141_100625_length_1325_cov_17.0000	1325	0.874308109	0.019846665
k141_100670_length_1034_cov_6.0000	1034	0.825358391	0.023359015
k141_100689_length_1716_cov_31.0000	1716	0.930796504	0.015541204
k141_100768_length_1018_cov_5.0000	1018	0.53423667	0.051514465
k141_100804_length_1457_cov_6.0000	1457	0.767703176	0.027966614
k141_100849_length_1090_cov_26.0000	1090	0.84825623	0.021640607
k141_100855_length_1264_cov_8.0000	1264	0.999762535	0.002133847
k141_100916_length_7355_cov_34.5311	7355	0.984507322	0.008592039
k141_100953_length_1304_cov_38.0000	1304	0.82221961	0.023528967
k141_100964_length_1108_cov_92.1044	1108	0.510426044	0.057104011
k141_100977_length_2711_cov_10.0000	2711	0.858438253	0.02092303
