contig_id	score	length
k141_100134_length_1302_cov_7.0000	nan	1302
k141_100274_length_1008_cov_7.0000	0.973	944
k141_100346_length_1822_cov_107.9946	1	1818
k141_100402_length_3407_cov_34.0000	0.573	3405
k141_10041_length_7664_cov_17.0000	0.993	7662
k141_100608_length_3384_cov_75.0025	0.92	3314
k141_100627_length_1589_cov_7.0000	0.853	1435
k141_100689_length_1716_cov_31.0000	0.867	1715
k141_100904_length_2537_cov_29.0000	0.853	2371
k141_100977_length_2711_cov_10.0000	1	2708
k141_100990_length_2573_cov_16.0000	0.833	2567
k141_101021_length_2015_cov_32.0000	0.98	2014
k141_101062_length_1418_cov_10.0000	0.873	1414
k141_101169_length_2390_cov_10.0000	0.94	1518
k141_101207_length_1158_cov_12.0000	nan	1158
k141_101412_length_4913_cov_81.5383	0.72	4913
k141_101881_length_1271_cov_7.0000	1	1268
k141_101904_length_1806_cov_61.0072	0.647	1803
k141_101994_length_3705_cov_85.1313	0.993	3703
k141_102103_length_7966_cov_104.8150	1	7964
k141_102292_length_2743_cov_24.3059	0.993	2719
k141_102476_length_1620_cov_117.2941	0.96	1564
k141_102508_length_11608_cov_34.1333	0.54	11606
k141_102598_length_2583_cov_17.0000	0.713	2582
k141_102638_length_57972_cov_135.3438	0.887	55826
k141_10264_length_1565_cov_59.0000	0.933	1473
k141_102681_length_1523_cov_7.0000	0.993	1522
k141_102689_length_1286_cov_32.0000	0.813	1135
k141_102693_length_1582_cov_13.0104	0.907	1580
k141_10276_length_5225_cov_9.0000	0.727	5222
k141_103199_length_2201_cov_9.0000	0.987	2040
k141_103378_length_1935_cov_13.0000	0.547	1898
k141_103469_length_2009_cov_18.0000	1	1985
k141_103500_length_3289_cov_38.7611	0.967	3289
k141_10353_length_1061_cov_9.0000	0.867	1060
k141_103727_length_1340_cov_29.0000	0.52	884
k141_103829_length_1021_cov_11.0000	0.813	968
k141_103840_length_4725_cov_25.0000	0.84	4723
k141_103862_length_2614_cov_126.9903	0.933	2611
k141_104029_length_1284_cov_96.7209	0.933	1281
k141_104031_length_1314_cov_12.0000	0.987	1310
k141_104207_length_2683_cov_177.6094	0.82	2682
k141_104279_length_3296_cov_30.7937	0.627	3293
k141_104336_length_1112_cov_77.8919	0.927	1111
k141_104413_length_1220_cov_8.0000	0.853	1002
k141_104728_length_1726_cov_9.0000	0.993	1725
k141_105022_length_2571_cov_8.0000	0.873	2568
k141_105089_length_3409_cov_94.1359	0.913	2864
k141_10527_length_2378_cov_8.0000	0.86	2377
k141_105469_length_3366_cov_8.0000	1	3366
k141_106179_length_4187_cov_13.0000	0.96	4184
k141_106214_length_1455_cov_413.0000	0.52	1451
k141_106388_length_1498_cov_13.4834	0.967	1496
k141_106633_length_2125_cov_6.0000	0.96	2123
k141_106736_length_2269_cov_30.0000	0.993	2132
k141_106965_length_3772_cov_15.0000	0.947	3770
k141_107152_length_1217_cov_27.0335	0.987	1079
k141_107172_length_1617_cov_14.0000	0.78	1607
k141_10723_length_1609_cov_10.0000	0.973	1607
k141_107404_length_14767_cov_35.9201	0.993	14355
k141_107479_length_2046_cov_14.8383	0.88	1388
k141_107481_length_2706_cov_24.0000	0.96	2576
k141_107706_length_5567_cov_46.0000	0.927	5564
k141_107971_length_1080_cov_26.2247	nan	1080
k141_108120_length_2167_cov_10.0000	0.987	1935
k141_108208_length_2436_cov_13.0000	nan	2436
k141_108380_length_2702_cov_31.9781	0.96	2699
k141_108480_length_1151_cov_21.0000	nan	1151
k141_108633_length_2073_cov_7.0000	0.993	2046
k141_108694_length_1518_cov_88.0000	0.933	1517
k141_108813_length_1888_cov_56.0990	0.967	1238
k141_109083_length_2111_cov_15.0000	0.78	2032
k141_109130_length_1764_cov_8.0000	1	1745
k141_10918_length_2133_cov_155.5271	1	2130
k141_109182_length_1006_cov_16.0000	nan	1006
k141_109471_length_1999_cov_9.0000	0.727	1996
k141_109509_length_1841_cov_6.0000	0.993	1752
k141_109850_length_2089_cov_101.2587	0.96	1588
k141_109912_length_1901_cov_7.0000	nan	1901
k141_109964_length_3261_cov_120.3138	0.707	3259
k141_110155_length_2700_cov_31.7397	0.933	2381
k141_110372_length_1333_cov_14.0000	0.967	1332
k141_110590_length_1241_cov_6.0000	0.927	1239
k141_110638_length_7485_cov_22.2339	0.887	7483
k141_110684_length_1787_cov_172.2199	0.893	1783
k141_110734_length_1627_cov_65.0000	0.96	1093
k141_110800_length_20850_cov_22.8973	1	20848
k141_110827_length_3555_cov_52.4971	1	3553
k141_110914_length_3396_cov_14.6249	1	3394
k141_110982_length_1807_cov_10.0000	0.973	1716
k141_111192_length_3414_cov_95.6755	0.713	3227
k141_111361_length_1060_cov_7.0000	1	1054
k141_111364_length_14689_cov_20.2044	0.973	14686
k141_111497_length_17981_cov_41.7236	0.993	17821
k141_111530_length_5146_cov_35.7315	0.747	5090
k141_111603_length_1218_cov_10.7957	nan	1218
k141_111793_length_2927_cov_15.0000	0.92	2833
