contig_id	length	checkv_quality	completeness	completeness_method	contamination	warnings
k141_10041_length_7664_cov_17.0000	7664	Low-quality	19.13	AAI-based (medium-confidence)	0	
k141_100608_length_3384_cov_75.0025	3384	Low-quality	8.26	AAI-based (medium-confidence)	0	
k141_100689_length_1716_cov_31.0000	1716	Low-quality	1.16	HMM-based (lower-bound)	0	
k141_100977_length_2711_cov_10.0000	2711	Low-quality	7.04	AAI-based (high-confidence)	0	
k141_101994_length_3705_cov_85.1313	3705	Low-quality	7.54	AAI-based (medium-confidence)	0	
k141_102598_length_2583_cov_17.0000	2583	Low-quality	2.56	HMM-based (lower-bound)	0	
k141_102638_length_57972_cov_135.3438_fragment_1	15962	Low-quality	46.16	AAI-based (medium-confidence)	0	
k141_102988_length_2760_cov_64.4154	2760	Low-quality	1.71	HMM-based (lower-bound)	0	
k141_103500_length_3289_cov_38.7611	3289	Low-quality	3.5	HMM-based (lower-bound)	0	
k141_104029_length_1284_cov_96.7209	1284	Low-quality	2.08	AAI-based (medium-confidence)	0	
k141_105398_length_24088_cov_119.2994	24088	Not-determined	NA	NA	0	no viral genes detected
k141_105469_length_3366_cov_8.0000	3366	Low-quality	10.56	AAI-based (high-confidence)	0	
k141_106179_length_4187_cov_13.0000	4187	Low-quality	13.41	HMM-based (lower-bound)	0	
k141_106633_length_2125_cov_6.0000	2125	Low-quality	3.37	AAI-based (medium-confidence)	0	no viral genes detected
k141_106965_length_3772_cov_15.0000	3772	Low-quality	2.49	HMM-based (lower-bound)	0	
k141_10723_length_1609_cov_10.0000	1609	Low-quality	2.96	AAI-based (medium-confidence)	0	
k141_107404_length_14767_cov_35.9201	14767	Low-quality	28.19	HMM-based (lower-bound)	0	
k141_107481_length_2706_cov_24.0000	2706	Low-quality	3.02	HMM-based (lower-bound)	0	
k141_107706_length_5567_cov_46.0000	5567	Low-quality	6.88	HMM-based (lower-bound)	22.63	
k141_108863_length_1406_cov_12.0000	1406	Not-determined	NA	NA	0	no viral genes detected
k141_109047_length_12883_cov_79.3665	12883	Not-determined	NA	NA	0	no viral genes detected
k141_109509_length_1841_cov_6.0000	1841	Low-quality	2.53	AAI-based (medium-confidence)	0	
k141_110155_length_2700_cov_31.7397	2700	Not-determined	NA	NA	0	no viral genes detected
k141_110372_length_1333_cov_14.0000	1333	Low-quality	2.15	HMM-based (lower-bound)	0	
k141_110539_length_3890_cov_39.0000	3890	Not-determined	NA	NA	0	no viral genes detected
k141_110638_length_7485_cov_22.2339	7485	Not-determined	NA	NA	0	no viral genes detected
k141_110800_length_20850_cov_22.8973	20850	Medium-quality	55.18	AAI-based (medium-confidence)	0	
k141_110914_length_3396_cov_14.6249	3396	Low-quality	11.89	AAI-based (medium-confidence)	0	
k141_111364_length_14689_cov_20.2044	14689	Low-quality	14.45	HMM-based (lower-bound)	0	
k141_111497_length_17981_cov_41.7236	17981	Low-quality	39.91	AAI-based (high-confidence)	0	
k141_112447_length_2494_cov_11.0000	2494	Not-determined	NA	NA	0	no viral genes detected
k141_112499_length_1590_cov_48.3326	1590	Low-quality	2.14	HMM-based (lower-bound)	0	
k141_112970_length_1929_cov_9.0000	1929	Low-quality	10.17	AAI-based (medium-confidence)	0	
k141_113088_length_13573_cov_373.7313	13573	Low-quality	27.87	AAI-based (medium-confidence)	0	
k141_113571_length_2763_cov_5.0000	2763	Low-quality	5.1	HMM-based (lower-bound)	0	
k141_114084_length_5612_cov_227.7015	5612	Low-quality	5.12	HMM-based (lower-bound)	0	
k141_114639_length_2257_cov_8.0000	2257	Low-quality	3.24	AAI-based (high-confidence)	0	
k141_114883_length_14209_cov_24.8711	14209	Low-quality	33.95	AAI-based (medium-confidence)	0	
k141_115186_length_1644_cov_6.1976	1644	Low-quality	4.06	AAI-based (medium-confidence)	0	
k141_115595_length_1307_cov_21.0000	1307	Low-quality	2.15	HMM-based (lower-bound)	0	
k141_115630_length_1357_cov_27.0000	1357	Low-quality	2.89	AAI-based (high-confidence)	0	
k141_116146_length_1580_cov_26.0000	1580	Not-determined	NA	NA	0	no viral genes detected
k141_116272_length_7264_cov_18.7549	7264	Low-quality	12.75	AAI-based (high-confidence)	0	
k141_117357_length_3107_cov_15.0000	3107	Low-quality	5.98	AAI-based (medium-confidence)	0	
k141_117790_length_1857_cov_8.0000	1857	Low-quality	4.86	AAI-based (medium-confidence)	0	
k141_118267_length_8646_cov_15.0000	8646	Low-quality	22.59	AAI-based (medium-confidence)	0	
k141_118335_length_59869_cov_201.6666_fragment_1	38674	High-quality	96.1	AAI-based (medium-confidence)	0	
k141_11840_length_178186_cov_241.4690_fragment_1	26363	Medium-quality	64.34	AAI-based (high-confidence)	18.7	
k141_119720_length_1304_cov_5.0000	1304	Low-quality	3.9	HMM-based (lower-bound)	0	
k141_120081_length_7949_cov_15.0000	7949	Low-quality	2.92	HMM-based (lower-bound)	0	
k141_120649_length_1581_cov_13.0000	1581	Low-quality	2.44	HMM-based (lower-bound)	0	
k141_120789_length_2783_cov_14.0000	2783	Not-determined	NA	NA	0	no viral genes detected
k141_120848_length_1053_cov_13.0000	1053	Low-quality	2.14	AAI-based (medium-confidence)	0	
k141_12086_length_3090_cov_57.1472	3090	Low-quality	2.2	HMM-based (lower-bound)	0	
k141_121102_length_7756_cov_14.0000	7756	Low-quality	2.61	HMM-based (lower-bound)	0	
k141_121509_length_1028_cov_19.0000	1028	Low-quality	1.84	AAI-based (high-confidence)	0	no viral genes detected
